# SNRtot_MF, evidence220_221, evidence220, nofilter]
1.192758470689342865e+01 -4.004084744926873896e+02 -4.021896899973356767e+02 -4.697191419899052107e+02
1.263809287740034470e+01 -3.886787004777099810e+02 -3.899874220814728005e+02 -4.648004060388923335e+02
1.301812636337580820e+01 -3.650865991612332664e+02 -3.657419339232795323e+02 -4.460170330394577149e+02
3.222828547795000276e+01 -3.870801093472007324e+02 -3.831223922957208288e+02 -8.943631873355748212e+02
6.822418838025614996e+00 -3.880235799282750691e+02 -3.894809292163750456e+02 -4.095630187668167537e+02
4.171063270010645141e+01 -4.011173011892145723e+02 -4.008284113714368004e+02 -1.263500222218257932e+03
1.057902463361078027e+01 -4.304003044082891734e+02 -4.313855730228372067e+02 -4.856873822209822720e+02
3.502402214876796194e+01 -3.669353184115662430e+02 -3.671804839082471972e+02 -9.738250135297905672e+02
1.275851703514324953e+01 -3.748569196403602746e+02 -3.761488212605690933e+02 -4.572326276700793528e+02
9.308023153103471614e+00 -3.841064602372945842e+02 -3.848614879764878651e+02 -4.208606679965272974e+02
1.716795110040843397e+01 -3.611491644022428886e+02 -3.632892835794586972e+02 -5.059366236839289286e+02
8.045973604467782536e+00 -4.040190587671626190e+02 -4.042022397470818760e+02 -4.329846335970483437e+02
7.032603352077852144e+00 -4.086815746633979529e+02 -4.106515125712027157e+02 -4.331885190608643939e+02
7.484558083779285553e+00 -3.829226035547459333e+02 -3.853289472838678762e+02 -4.102933688436461352e+02
2.700634232162113513e+00 -4.019970304568885240e+02 -4.021503518722578292e+02 -4.038450939354735283e+02
2.364098767622931518e+01 -3.852285974689763179e+02 -3.850085514974455236e+02 -6.605762277257682626e+02
3.041456531826400411e+00 -3.978330841924224046e+02 -3.992329244510308399e+02 -4.012307228786347650e+02
1.330339539026131135e+01 -3.982142356964026817e+02 -3.999287720103995412e+02 -4.855097457486301096e+02
2.244341790574917894e+01 -3.983176057460430570e+02 -3.971904226243481730e+02 -6.442785396180644284e+02
1.075200965872715386e+01 -3.947024517009289184e+02 -3.955689354232855521e+02 -4.482046061239034316e+02
5.292172931728718943e+00 -3.869593667421963801e+02 -3.893910103608992586e+02 -4.025008490063703448e+02
7.933076542169435363e+00 -3.691390369597545487e+02 -3.705236207598409806e+02 -4.013327699291920680e+02
5.637290604901370905e+00 -3.971549889874563064e+02 -3.985294660541886742e+02 -4.141575437764583967e+02
6.163644734747009579e+01 -3.815221105641523991e+02 -3.825764858776525443e+02 -2.275241443684556543e+03
9.585571316105822248e+00 -3.826597478335698952e+02 -3.848892733864128672e+02 -4.278982999544044787e+02
4.540284684932609949e+00 -4.043318312289524101e+02 -4.041563277325917056e+02 -4.123092625979735999e+02
5.277448536417929326e+00 -3.807571984467363677e+02 -3.821922005438043470e+02 -3.937405150877100937e+02
1.914622463719658896e+01 -3.863282810247885095e+02 -3.860099284375313005e+02 -5.645325909279687266e+02
9.381625134518346343e+00 -3.913033963000352173e+02 -3.924275574941124205e+02 -4.325672463752806038e+02
3.368895884536384244e+01 -4.287123393281768244e+02 -4.311424473434913693e+02 -9.926429428376208079e+02
4.040444030319648760e+01 -3.969600398054807329e+02 -3.979331965606130552e+02 -1.208190276879099656e+03
3.371783583481628543e+00 -4.067879642834549827e+02 -4.075647397448263973e+02 -4.144248902524192317e+02
2.848310787114692744e+01 -4.006511241536960597e+02 -4.004764617536479818e+02 -8.015959471487612973e+02
1.286215334046760184e+01 -3.597454300521509367e+02 -3.578888052833837605e+02 -4.385590499433760669e+02
1.180935993396622230e+01 -4.061816445291192963e+02 -4.095416579022747214e+02 -4.775672937435150516e+02
1.983444414342875461e+01 -4.002551443580856017e+02 -3.981927373222665665e+02 -5.922765918120754804e+02
1.473899088249560663e+01 -3.801453671350875538e+02 -3.822131531568068681e+02 -4.858284422976492465e+02
3.030061291738037177e+00 -3.469267292805732836e+02 -3.481144745361131072e+02 -3.516483219529444000e+02
2.630738703930864375e+01 -3.534549290920821250e+02 -3.547151493287095718e+02 -6.951950129084251557e+02
7.221206163260304400e+00 -3.873527731592180317e+02 -3.871957628102406375e+02 -4.114788931791561595e+02
1.229802372915459330e+01 -3.656483277201818964e+02 -3.671817112716321390e+02 -4.398899598802460673e+02
9.604934685480831291e+00 -3.760701816179761749e+02 -3.769010486593745668e+02 -4.194696390753236983e+02
1.405578747435244935e+01 -3.717701028077776755e+02 -3.732656107302445321e+02 -4.710454856656745051e+02
3.168379854369765880e+00 -3.886201120968741520e+02 -3.883977945464772006e+02 -3.914030660506433037e+02
2.880830658633316688e+01 -3.872079681804703455e+02 -3.863575122748056287e+02 -7.949020253289298807e+02
1.142577835806176267e+01 -4.310852968826387155e+02 -4.325570303191473158e+02 -4.929964967919360106e+02
2.977851471755549895e+01 -4.049670979951849290e+02 -4.050915854000020886e+02 -8.389462542166739922e+02
9.060350808842470016e+00 -3.856440882715679663e+02 -3.874845923482525905e+02 -4.255267224703428610e+02
1.389532742057138925e+01 -4.157329360535173919e+02 -4.156085949500127299e+02 -5.000344673854017401e+02
9.770743990063509798e+00 -3.637891015899979266e+02 -3.648053497063338568e+02 -4.100397099280785937e+02
3.407380515772008067e+01 -4.199021780752139534e+02 -4.206046973493720884e+02 -9.951055232075681261e+02
3.205509191593036888e+01 -3.842362600079100048e+02 -3.879897556608814853e+02 -8.963650146527827474e+02
1.656759158952909772e+01 -3.928525594261409424e+02 -3.921254398872588922e+02 -5.261593142776156355e+02
1.874768425060561849e+00 -4.234167967672655664e+02 -4.226603769227609178e+02 -4.253148128452980927e+02
1.518197847605378570e+01 -3.954955243234633144e+02 -3.970098110322222738e+02 -5.095876095682699543e+02
1.360779032262347243e+01 -3.914414418830708087e+02 -3.925251091998641755e+02 -4.813818041656623450e+02
2.875655020063940626e+01 -4.104289909191190873e+02 -4.123314413016141202e+02 -8.211287828465560779e+02
