# SNRtot_MF, evidence_inj, evidence_filt, nofilter]
8.249276121093173231e+01 -3.108111609735883576e+02 -3.122258879925137194e+02 -3.543206969418213248e+03
6.585039456437941396e+01 -2.340349536915292106e+02 -2.308390193495656888e+02 -2.365273541191298591e+03
5.898545085581758229e+01 -2.199081327910767811e+02 -2.189119807243602338e+02 -1.943760335612054632e+03
6.346690878668226077e+01 -2.407083455013553532e+02 -2.376926284905693763e+02 -2.236284983421317975e+03
6.445094903718934631e+01 -2.238398444123697004e+02 -2.205762665120405188e+02 -2.270868415528720107e+03
6.986418461963486948e+01 -2.179591623648206280e+02 -2.179997138933239000e+02 -2.607000441555934685e+03
7.153444062050546393e+01 -2.272936684261961489e+02 -2.258990338669226219e+02 -2.722152602244215359e+03
5.926534132711567793e+01 -2.603513871813303808e+02 -2.585780669509450149e+02 -2.005502349989138338e+03
4.851214645537594095e+01 -2.898184717096569898e+02 -2.870214738808837751e+02 -1.461440588257690933e+03
5.713868316672740377e+01 -3.047004015671769821e+02 -3.016183383676761878e+02 -1.932416703789795065e+03
7.577745946638206931e+01 -2.849699476613665752e+02 -2.820072629719060160e+02 -3.048323524486619135e+03
7.449933256364285228e+01 -2.111204688998095378e+02 -2.101385634322278975e+02 -2.932647483522448965e+03
6.776491295303857498e+01 -2.284313969477667570e+02 -2.239259451035704274e+02 -2.478526712461530678e+03
6.404572951087310173e+01 -2.369116099398991082e+02 -2.337844549019660008e+02 -2.277782650902970090e+03
8.759664403210057060e+01 -2.484228005282372465e+02 -2.425120558724062505e+02 -4.018454735519383121e+03
7.518438050109992332e+01 -2.467530948812673159e+02 -2.445061541063087702e+02 -3.050458269351408035e+03
6.070313359642990036e+01 -2.280029262701552284e+02 -2.239586349039108484e+02 -2.052655457768864380e+03
5.774809382558456861e+01 -2.353285708023133793e+02 -2.321409253271816056e+02 -1.895203202408398738e+03
8.739228151840278258e+01 -2.345572315984816498e+02 -2.278916692780986466e+02 -4.003892174863751734e+03
6.432935165787660026e+01 -2.208618216145842439e+02 -2.178585332616266612e+02 -2.249373792951806081e+03
6.936057383654164710e+01 -2.919505130435762226e+02 -2.897629556464040661e+02 -2.683280136273379412e+03
6.945605022365158732e+01 -2.302437385137643560e+02 -2.268715023357960661e+02 -2.632275359654011481e+03
7.324046990900025378e+01 -2.949823257473469766e+02 -2.920531443148352082e+02 -2.963469013990543317e+03
9.087752344972733454e+01 -2.719415340844151956e+02 -2.618595834778888616e+02 -4.287009964158971343e+03
7.994982400056497340e+01 -2.963471346559206268e+02 -2.922265601352195858e+02 -3.473732824115797484e+03
6.098563157911289068e+01 -2.242239161216999150e+02 -2.204533399028126723e+02 -2.055394570524696519e+03
8.834751895917567310e+01 -3.100090096404907740e+02 -2.735160787042929655e+02 -4.045933006550800201e+03
8.236512631721610944e+01 -4.099512252633777507e+02 -3.882152114165307921e+02 -3.535016714934591164e+03
6.364825907518748238e+01 -2.270508797040066042e+02 -2.223506368816112513e+02 -2.228285366693676224e+03
6.049199807386249006e+01 -2.149437200253565834e+02 -2.119558403709692982e+02 -2.029333513768788180e+03
7.044690354784520991e+01 -2.479275324833310776e+02 -2.428057360407476324e+02 -2.689712600174319505e+03
