# SNRtot_MF, evidence220_221, evidence220, nofilter]
2.861873475590374483e+01 -3.984495976816580196e+02 -4.013020069889549859e+02 -8.064066320431575150e+02
1.759831075763867858e+01 -3.866070846617913617e+02 -3.877381617425755849e+02 -5.399817751881199683e+02
1.535083720977350197e+01 -4.189290269452703228e+02 -4.157053079608502344e+02 -5.265438813818806238e+02
1.428516567967322182e+01 -3.633590517080372138e+02 -3.652920689324711816e+02 -4.633907665664837623e+02
2.517707429339052894e+01 -3.883847563171568709e+02 -3.874570326886100133e+02 -6.997041391299666202e+02
1.347886517539267892e+01 -3.870790256757164229e+02 -3.899770462112362566e+02 -4.796497066545326788e+02
2.376490510167532122e+01 -4.317334814989046095e+02 -4.312473515352241407e+02 -7.078346118644442413e+02
2.689458716151222006e+01 -3.844848190480810217e+02 -3.869501913738862982e+02 -7.445124476992895097e+02
1.591676775595762727e+01 -3.827484326867305526e+02 -3.843684328293039130e+02 -5.051155358013937757e+02
1.032008476630959493e+01 -4.049042572171264283e+02 -4.068953647777892115e+02 -4.538109160679371712e+02
3.543426965704096432e+00 -3.821075334731764315e+02 -3.842857667685246952e+02 -3.899164050100244481e+02
1.687467745093270821e+01 -3.728733288858086894e+02 -3.729215844714336185e+02 -5.104719863574973715e+02
2.045970834221866497e+01 -3.700435843955464748e+02 -3.720929665998949076e+02 -5.763442478850191719e+02
8.359727861101958979e+00 -3.672075450541543091e+02 -3.681207519637942482e+02 -4.011787865764874823e+02
9.389764951242133506e+00 -3.694877637587636627e+02 -3.712052676545612258e+02 -4.069529140798145477e+02
5.936687871738243416e+00 -3.706912133851620865e+02 -3.705365536059221085e+02 -3.856911818339709725e+02
1.290565742479988387e+01 -4.066016706221482764e+02 -4.090469738075298665e+02 -4.905199606052285048e+02
2.640078618287915546e+01 -3.797110505676640173e+02 -3.814964471531816343e+02 -7.270189674879997028e+02
1.857631899008331189e+01 -3.988762728125947774e+02 -3.979534661895152112e+02 -5.669100140697863708e+02
1.065151259505360670e+01 -4.153511403834896782e+02 -4.152993338347408780e+02 -4.690801035347217294e+02
2.462926044766847866e+01 -4.188303324329984889e+02 -4.170396026514307550e+02 -7.157364880050570264e+02
1.606230753125387523e+01 -4.310254487739900924e+02 -4.322208069215384398e+02 -5.592680563461211705e+02
1.456427735617489105e+01 -4.290601359125011527e+02 -4.280940698675888143e+02 -5.279736316551920936e+02
1.691683890290827108e+01 -4.077221492573808064e+02 -4.097277770020435810e+02 -5.479202919898169739e+02
1.057702546203616834e+01 -3.450060061753354717e+02 -3.480434955741318390e+02 -4.028506864025109735e+02
2.536151077240911533e+01 -3.925906859588535553e+02 -3.908001678528456750e+02 -7.044078349269188948e+02
1.679675270744906967e+01 -3.988231115496426469e+02 -3.995388178701470565e+02 -5.381974259510581078e+02
4.870995421373323531e+00 -3.848034676545584603e+02 -3.860407426936301931e+02 -3.948828118930741766e+02
2.318795554446144536e+01 -3.707905661502202292e+02 -3.727496880148643754e+02 -6.367410504611677879e+02
1.058141257654285461e+01 -3.822370149049892234e+02 -3.838456574275539879e+02 -4.349433501196950260e+02
2.113518959548200371e+01 -3.698454282500681529e+02 -3.717091535540803307e+02 -5.878590460992124918e+02
1.313421719704296997e+01 -3.823207250244274746e+02 -3.825978244907652766e+02 -4.658760556279261777e+02
8.559763922607601216e+00 -4.126699867061569762e+02 -4.114312286617762311e+02 -4.415785464096924784e+02
1.389921876140999224e+01 -3.999992259306775964e+02 -4.001958385585432438e+02 -4.938736446702093872e+02
2.093527354305814470e+01 -3.813482106612389089e+02 -3.827713284961537852e+02 -5.967091209024127920e+02
