# format=SNRtot_MF, evidence_inj, evidence_filt, nofilter]
1.027456425949914376e+01 -4.108841942222994703e+02 -4.143843837386069140e+02 -4.600242908888623106e+02
1.315970258903877088e+01 -3.879998383278403367e+02 -3.895523705297748052e+02 -4.694671860334989901e+02
9.200278549893438296e+00 -4.277722910185692626e+02 -4.296939967461933634e+02 -4.655774633154839535e+02
1.141191911316212959e+01 -4.402270715733362181e+02 -4.421348395398881053e+02 -5.042545137059872786e+02
1.406163598473063026e+01 -4.325954888135366900e+02 -4.380167146505734763e+02 -5.274134095037455836e+02
1.168543609384709292e+01 -4.022979104478424119e+02 -4.059531707231281530e+02 -4.693136077566731501e+02
1.191251809893832636e+01 -3.579216502657951082e+02 -3.595960973479315044e+02 -4.275118333477104784e+02
1.273303184080061179e+01 -3.867250817843657842e+02 -3.886513337357741875e+02 -4.647104103151938261e+02
1.310620857018533769e+01 -3.795281984847622994e+02 -3.826884142280128458e+02 -4.631818712935319127e+02
1.280489028070859092e+01 -3.805935493569002688e+02 -3.820528818539894473e+02 -4.621267956295369004e+02
1.150901260309474061e+01 -4.148331192769585414e+02 -4.156736140965313098e+02 -4.764761129509610100e+02
9.748030160574678860e+00 -3.818027015872392553e+02 -3.816794033057083197e+02 -4.272407944657926464e+02
1.093427287687794269e+01 -3.686292107766834647e+02 -3.688273771881524681e+02 -4.253973903802921654e+02
1.046378079703572972e+01 -3.637657182475745685e+02 -3.668522939851172282e+02 -4.152568568232655366e+02
1.069996901467707140e+01 -4.196132570361429543e+02 -4.214069841780532215e+02 -4.723266470833868311e+02
1.193676570957356375e+01 -3.814784371507101923e+02 -3.827545775847002005e+02 -4.479715339868410524e+02
1.126876791881905326e+01 -3.467334357696578877e+02 -3.497677640840606159e+02 -4.079510097078780291e+02
1.103602413204495392e+01 -4.066170352986370062e+02 -4.076828798900046422e+02 -4.637932930987096256e+02
1.262709891280246488e+01 -3.974199705390488475e+02 -3.998053143061171681e+02 -4.733163942279471712e+02
1.144234200785461653e+01 -4.307058610429962187e+02 -4.335916040532034685e+02 -4.924090995888200268e+02
1.285189076220539661e+01 -3.852394272542830436e+02 -3.883130953489794024e+02 -4.618364104181287075e+02
1.304552903973917566e+01 -3.690445863305978378e+02 -3.707517573515504523e+02 -4.511621441154455852e+02
1.191155951053013595e+01 -4.049474755453948092e+02 -4.077169249379587654e+02 -4.722216582791728570e+02
1.225292566555478402e+01 -3.746717715426048017e+02 -3.780414304925470788e+02 -4.462874485808073928e+02
1.308294667635003705e+01 -3.743889744147641068e+02 -3.777128497192458667e+02 -4.564446803701183626e+02
1.204651177267959561e+01 -4.089318151246348521e+02 -4.112093093648751960e+02 -4.772057863705601903e+02
1.105888124938779704e+01 -4.025718709409829899e+02 -4.036721774312230764e+02 -4.614546154884277485e+02
1.285305058359338304e+01 -4.019730629036425285e+02 -4.055030253838401109e+02 -4.810101156157836044e+02
9.601564752909826694e+00 -4.163315885616408423e+02 -4.164747829883462487e+02 -4.592848366288361035e+02
1.253396017546613983e+01 -3.960635635774724506e+02 -4.017693687646359990e+02 -4.758132827602476027e+02
1.298149806481848678e+01 -3.800887347938060543e+02 -3.821104350754058601e+02 -4.600914795236444661e+02
1.176974540270382263e+01 -3.859372147172871905e+02 -3.867711314245896688e+02 -4.521630699614402715e+02
1.348099483918197095e+01 -3.860396461877210754e+02 -3.871505889361513937e+02 -4.697161703981509504e+02
1.282728669268690247e+01 -4.069903519384784545e+02 -4.097231973657934532e+02 -4.877347786825202434e+02
1.279696701337262610e+01 -3.750795026214724430e+02 -3.798477950460529655e+02 -4.542324538721168210e+02
1.256594442458018790e+01 -3.569624906163719515e+02 -3.593160541415172133e+02 -4.371487854399674688e+02
1.140693082004791492e+01 -3.837131874830804463e+02 -3.875205479180688144e+02 -4.479430706905990860e+02
1.337591788169822671e+01 -3.454473075319890540e+02 -3.473227021393838072e+02 -4.305939089574757190e+02
1.202556820293546913e+01 -3.882049279944815225e+02 -3.909623079586451695e+02 -4.613179517813641723e+02
1.151665677451109460e+01 -4.282470574560746854e+02 -4.286818762006117822e+02 -4.878029196843925774e+02
1.189162381493630782e+01 -4.181328280639444301e+02 -4.205091938034807981e+02 -4.850740797759623320e+02
1.201013578074519650e+01 -3.979836855088360608e+02 -4.005381529010895747e+02 -4.691033385064025651e+02
1.102455437864170129e+01 -3.912537995679175538e+02 -3.906880813706363256e+02 -4.473026953125506111e+02
1.342773125056820049e+01 -3.638576912576612017e+02 -3.678880527560490350e+02 -4.527621708627950738e+02
1.235793246229385289e+01 -3.618692954558519546e+02 -3.644332527151549357e+02 -4.380139988549267400e+02
1.142385229896449772e+01 -3.940017340370748684e+02 -3.959710494645760832e+02 -4.559574774171282456e+02
1.287011943710011153e+01 -3.799414258253702883e+02 -3.820467041791098950e+02 -4.596190585993011268e+02
1.201479297283444048e+01 -4.084667000683931519e+02 -4.095041191224993327e+02 -4.791898239897012672e+02
1.163106493418610476e+01 -3.853765411413673974e+02 -3.885269263699763655e+02 -4.511623127479953723e+02
1.027522256676095580e+01 -4.007335753394955304e+02 -4.053201117375887179e+02 -4.503989444184348372e+02
1.049014286784840166e+01 -3.948442281542030514e+02 -3.971570595614484205e+02 -4.482301529558778839e+02
1.294946817548473206e+01 -3.923430598776332090e+02 -3.967920903003634976e+02 -4.754340874610925880e+02
1.025387482267922401e+01 -3.826707810270465302e+02 -3.843773933983627558e+02 -4.379520105188588559e+02
1.243387062561790657e+01 -4.074028342204383080e+02 -4.096477918498075610e+02 -4.769114811137555421e+02
1.156482619602730821e+01 -4.023471495252833279e+02 -4.062385225361025505e+02 -4.654298511677552597e+02
1.224607970448150063e+01 -3.843656500692595728e+02 -3.856975039428978675e+02 -4.550036987427739064e+02
