# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, nofilter, evidence220, evidence220_221, np.log10(occams220), np.log10(occams220_221)
3.200000000000000000e+01 3.929245870582854572e+00 3.928870521639810764e+00 6.820037718167141216e-01 -3.815219929943994543e+02 -3.756396008847842722e+02 -3.746237139354410033e+02 -4.304170003656224708e-01 -7.159473092521779769e-01
1.300000000000000000e+01 1.676432911708554485e+01 1.664587263315483412e+01 1.808553235893711308e+00 -5.135499906724405719e+02 -3.783700119922938256e+02 -3.762988245570845720e+02 -1.374217925556286746e+00 -9.334382573685462425e-01
4.700000000000000000e+01 1.778114986939069775e+00 1.778019780289939566e+00 1.296521788811282550e+00 -3.788939758932287987e+02 -3.775967023398242191e+02 -3.784880080037144126e+02 -2.765840542601999963e-01 -3.521609655701355979e-01
2.800000000000000000e+01 5.357456484516820439e+00 5.367929295701719283e+00 -1.213140504727463043e+00 -3.934529503934645618e+02 -3.807827121918294324e+02 -3.801837089616046796e+02 -6.706551232403985541e-01 -7.069501597128043935e-01
6.000000000000000000e+00 3.222120376789921892e+01 3.112402080627347445e+01 7.127115383070893984e+00 -8.926466586663830185e+02 -3.793778837539214805e+02 -3.761660405193545671e+02 -1.795745331505841591e+00 -1.165380535982285526e+00
1.650000000000000000e+01 1.446662882246973325e+01 1.448293440036167645e+01 2.151228496307207916e+00 -4.812186429511741039e+02 -3.793035644094679242e+02 -3.783144281981439008e+02 -1.195160741438328955e+00 -9.872307878988197949e-01
3.750000000000000000e+01 3.703086718861522630e+00 3.703477151099531461e+00 -5.282755342605193610e-02 -3.797564289566611819e+02 -3.747942353245599065e+02 -3.743247458380293438e+02 -5.922781225643667380e-01 -3.475544947258546458e-01
2.400000000000000000e+01 8.161278146398670330e+00 8.167126941296228182e+00 1.049581435549729491e+00 -4.149845610871929580e+02 -3.842660167605347397e+02 -3.830047071368533693e+02 -8.849596564014179378e-01 -7.694560019295735298e-01
2.500000000000000000e+00 5.622194529078028324e+01 5.151657804482493219e+01 1.046249376670514231e+01 -1.953193025037551479e+03 -3.825417846992502291e+02 -3.777267991803991549e+02 -2.027813246303884043e+00 -1.429069046380238017e+00
4.350000000000000000e+01 1.554935235214511158e+00 1.554877027449140803e+00 1.020970992259604637e+00 -3.783904825040405058e+02 -3.779641653178072147e+02 -3.783876016122828219e+02 -4.176010578660043771e-01 -4.849038800540851346e-01
3.300000000000000000e+01 4.528398238502505890e+00 4.527937859138093657e+00 3.786994004483379417e-01 -3.817631749910252665e+02 -3.740532853556493365e+02 -3.732444232421882475e+02 -6.641291535921135525e-01 -6.884301676024261463e-01
2.050000000000000000e+01 9.083647065058414682e+00 9.069146596428387497e+00 1.970712803322759443e+00 -4.198665261486929126e+02 -3.820360353139179210e+02 -3.809436159639810739e+02 -1.092620649923945919e+00 -7.863537345009367074e-01
1.200000000000000000e+01 1.933901686548401599e+01 1.888462849888221839e+01 1.808662512241394849e+00 -5.595134524779971343e+02 -3.764201206024360999e+02 -3.762148549834563482e+02 -1.429286175531616854e+00 -1.045218997643695413e+00
4.600000000000000000e+01 2.192631387743798399e+00 2.192604799977681651e+00 3.541554924871747057e-01 -3.792385236450605248e+02 -3.777246908956396396e+02 -3.787333019007519965e+02 -3.060429653233015523e-01 -4.384310952822904062e-01
2.900000000000000000e+01 5.458423732363608671e+00 5.468217035712509499e+00 -1.342610309210050978e+00 -3.939550916403712222e+02 -3.806431483549736754e+02 -3.783091441023231596e+02 -5.268754176585700444e-01 -7.515764226509138446e-01
7.000000000000000000e+00 2.986739304283427288e+01 3.031244127087880358e+01 5.274167634134405702e+00 -8.195272164223449636e+02 -3.786555195287672859e+02 -3.762973748508418907e+02 -1.715863271231745424e+00 -1.127171618040591961e+00
1.750000000000000000e+01 1.350363822846538220e+01 1.345097324637219671e+01 1.621178578618019506e+00 -4.704077668358359006e+02 -3.822896638628415644e+02 -3.811816566671608371e+02 -1.158651399388102243e+00 -8.249157176701567007e-01
2.500000000000000000e+01 8.343766814464391501e+00 8.342931321872363526e+00 3.951383828850932312e-02 -4.141984684148567908e+02 -3.820255341362121726e+02 -3.835314783813083181e+02 -9.209759402405532924e-01 -6.764485125591988002e-01
3.650000000000000000e+01 3.824748201125714342e+00 3.825605036911390755e+00 -3.646178930880259461e-01 -3.800007912715510656e+02 -3.747312389118322926e+02 -3.740259605653945982e+02 -6.743942019819997302e-01 -5.708771411157064213e-01
4.050000000000000000e+01 2.369413435705624238e+00 2.369240551655943605e+00 6.501829049415621675e-01 -3.752916625687152532e+02 -3.737673126126075545e+02 -3.735054221240075094e+02 -2.786057181494547841e-01 -3.243683258530937197e-01
1.500000000000000000e+00 5.776340406442862019e+01 5.569184139214970486e+01 1.313691276999582414e+01 -2.040845666747066161e+03 -3.849877063837511173e+02 -3.782364535939753978e+02 -2.113943352306836942e+00 -1.492783828629540732e+00
1.100000000000000000e+01 2.323680891939270765e+01 2.261696343370993389e+01 1.859197864635283137e+00 -6.417778146559107881e+02 -3.758607624667283176e+02 -3.749728504271510587e+02 -1.476179329835071385e+00 -1.045009763916992629e+00
2.350000000000000000e+01 8.541994010599605502e+00 8.556432265401095805e+00 7.537235129601826955e-01 -4.181095785988792954e+02 -3.843856280622854342e+02 -3.834234111037984007e+02 -8.995268333125117088e-01 -7.460466286738025588e-01
3.000000000000000000e+01 5.121018970894678723e+00 5.125651014701195329e+00 -2.890268821628922957e-01 -3.892637305897652595e+02 -3.782025407031691770e+02 -3.767113370612983090e+02 -5.670227560338310102e-01 -7.330904827435239524e-01
4.000000000000000000e+00 4.715091021352822764e+01 4.165168800145280414e+01 9.980639415477682519e+00 -1.483805335430005698e+03 -3.790197022665261102e+02 -3.740174220808858081e+02 -1.995710636915889458e+00 -1.246276317701175751e+00
1.850000000000000000e+01 1.221064320528338953e+01 1.213636384666524926e+01 1.512699410406590284e+00 -4.541614519304285977e+02 -3.833047371910825518e+02 -3.829400450410499843e+02 -1.133500114566072359e+00 -7.061824914788786822e-01
4.500000000000000000e+01 1.888248870787783362e+00 1.888253029883339540e+00 4.377900196661262955e-01 -3.801610319874672541e+02 -3.793999043986613628e+02 -3.806044178838099583e+02 -3.378341097698528417e-01 -4.004866826310973793e-01
3.950000000000000000e+01 3.106950907743781798e+00 3.106824290314323722e+00 5.993916157190494198e-01 -3.768471968668228556e+02 -3.741606119718294394e+02 -3.747200402661454177e+02 -3.779326038514732033e-01 -2.176572116214989250e-01
3.550000000000000000e+01 3.748655536484595263e+00 3.749311762981323515e+00 5.366615041081110316e-02 -3.799614970808727890e+02 -3.748698480295745412e+02 -3.742443381661893227e+02 -6.865017450220366468e-01 -6.356445625327604709e-01
2.600000000000000000e+01 7.116118460624655029e+00 7.113831244679108323e+00 -1.866954465478338487e-01 -4.046068747049765193e+02 -3.827167715312124301e+02 -3.822131692745420537e+02 -8.847323257768484606e-01 -6.136803116071041231e-01
4.900000000000000000e+01 1.976327555661314461e+00 1.976222366899578420e+00 9.613005043105231628e-01 -3.806957714714687881e+02 -3.798677530783112957e+02 -3.826739627251608908e+02 -3.889543770019132651e-01 -4.345594207842865542e-01
1.450000000000000000e+01 1.537584487371532838e+01 1.555602406646145219e+01 1.319680359226330424e+00 -4.939848579903242012e+02 -3.795493718087441835e+02 -3.781269900845929897e+02 -1.303190669184908224e+00 -9.545605337233654675e-01
8.000000000000000000e+00 2.966695102957579877e+01 3.019388068121392266e+01 3.933995205811054330e+00 -8.135051804453288469e+02 -3.784406809961318459e+02 -3.761099257094306836e+02 -1.642225885499282390e+00 -1.088208162778766974e+00
4.150000000000000000e+01 1.524358038717590569e+00 1.524384324475019037e+00 3.220848334054983719e-01 -3.769584255534896329e+02 -3.771469491256356719e+02 -3.775690922761542652e+02 -2.147364192518143033e-01 -3.289236743195913526e-01
