# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, evidence220_221, evidence220, evidence221, nofilter
5.900000000000000000e+01 1.808842791152217355e+00 1.808819405419875626e+00 8.499434451692179371e-01 -3.935108940840735841e+02 -3.934418661805651709e+02 -3.939376333874566285e+02 -3.947977811948110798e+02
2.200000000000000000e+01 3.260173865657588976e+01 3.221419659261566437e+01 1.713370181662753622e-01 -3.843171549493508792e+02 -3.880249223254515414e+02 -4.017501266770175903e+02 -9.146997172503720321e+02
8.100000000000000000e+01 -4.045709470470631453e-01 -4.045708815465776653e-01 -1.231934515787893036e-01 -3.977040056331391611e+02 -3.988901143552479311e+02 -3.992757010799144837e+02 -3.994675877353915325e+02
5.000000000000000000e+01 2.723241245297483459e+00 2.723110110528454531e+00 -6.386068259180529560e-01 -3.902997849667890478e+02 -3.919182005975236507e+02 -3.913744224964022465e+02 -3.975523362514966834e+02
8.600000000000000000e+01 3.069757707378951150e-01 3.069758740024732813e-01 -7.507624711488471991e-01 -3.976551413705255413e+02 -3.991224781408103581e+02 -4.002624324389539652e+02 -4.001148283941519708e+02
5.700000000000000000e+01 9.207228477670325040e-01 9.207030992398242963e-01 -6.682156289025527052e-01 -3.926347557544861502e+02 -3.929139690244834924e+02 -3.936064153272607200e+02 -3.938350042528551853e+02
6.200000000000000000e+01 2.094542674641466817e+00 2.094536134676947547e+00 9.885280296509365572e-01 -3.930256886116110877e+02 -3.927508102416575753e+02 -3.927257829673173433e+02 -3.938929412260997083e+02
6.500000000000000000e+01 1.835589260714282078e+00 1.835584859202724406e+00 7.722268398960459024e-01 -3.922359097869696711e+02 -3.922307846220151077e+02 -3.917116522512626489e+02 -3.930817307626793422e+02
1.900000000000000000e+01 4.642769937114118051e+01 4.568067701804822889e+01 1.854279180505086222e+00 -3.900402023051138940e+02 -3.915405265643238977e+02 -4.051064313523406781e+02 -1.463186326898843163e+03
1.700000000000000000e+01 4.764010458351000210e+01 4.681140724511298856e+01 1.725082600223275531e+00 -3.906224948075370662e+02 -3.923734019426013901e+02 -4.090709157457468450e+02 -1.521075492577341265e+03
1.000000000000000000e+01 9.175011134228455489e+01 8.603107100865386769e+01 7.916944955811564988e+00 -3.932919646226130226e+02 -3.941105376211443172e+02 -4.301020569707184222e+02 -4.595051864843931071e+03
7.400000000000000000e+01 1.935919264189653599e-01 1.935916887397697017e-01 1.421711453068880970e-01 -3.991327427864302422e+02 -3.995980846553430297e+02 -3.999834585594381338e+02 -3.992345920556058445e+02
7.300000000000000000e+01 -9.462013450772879808e-02 -9.461940131754023597e-02 -5.786804279480554092e-01 -3.971678493039876798e+02 -3.972298350061442989e+02 -3.978166408385478121e+02 -3.968950271110703625e+02
4.600000000000000000e+01 5.047472915110151170e+00 5.047334492148043417e+00 2.726563827333802759e-01 -3.906278128231229516e+02 -3.932853970399451669e+02 -3.924158197537825572e+02 -4.056566928585979781e+02
9.700000000000000000e+01 1.620481352161892985e-01 1.620481242241524344e-01 4.978823106702623402e-01 -3.963749581315619253e+02 -3.967472088840847277e+02 -3.974318713050570295e+02 -4.001677972082771362e+02
4.100000000000000000e+01 7.007338401491475466e+00 7.005895369042118404e+00 -6.086267362321557961e-01 -3.958992733757644373e+02 -3.976124059861414253e+02 -4.007479911996884994e+02 -4.179761248244403760e+02
9.000000000000000000e+01 5.289428926023518329e-01 5.289429782576104966e-01 -1.508958414895294142e+00 -3.992742854818486649e+02 -3.988427124600394222e+02 -4.010438809569679961e+02 -4.003576280411575112e+02
5.000000000000000000e+00 1.906298999132243068e+02 1.531501902271259041e+02 4.142796144256399771e+01 -3.909738119183795675e+02 -4.136008791600096970e+02 -4.391122187789985674e+02 -1.855472068474958360e+04
3.300000000000000000e+01 1.210764394400662880e+01 1.209456497466427471e+01 -5.282696942059286194e-01 -3.919031319342216193e+02 -3.907579818288020874e+02 -3.947430400072133807e+02 -4.614335967179350746e+02
3.400000000000000000e+01 1.146795487428494553e+01 1.145474424100628852e+01 -5.650904840488228942e-01 -3.922810011382571815e+02 -3.925830249897692852e+02 -3.961974087411761047e+02 -4.551677526471327724e+02
2.000000000000000000e+00 2.146670988444004138e+02 1.644880396160070006e+02 5.707121352412001158e+01 -3.897897228239143601e+02 -4.794056053085385543e+02 -4.670195207151367072e+02 -2.342505782628729139e+04
4.800000000000000000e+01 4.276608753366196503e+00 4.276449862269339874e+00 -1.655980356861193048e-01 -3.894755467662109254e+02 -3.899798402652895675e+02 -3.903898390311434810e+02 -4.002771714430616612e+02
9.900000000000000000e+01 8.419982254052216231e-02 8.419981141285799719e-02 1.245785243905759732e+00 -3.986225442570432165e+02 -3.998644007078328855e+02 -4.000100030011419108e+02 -4.022163626086060617e+02
